4digit,cl
436,0.16799846291542053
437,0.14017532765865326
438,0.11630044132471085
439,0.09568575769662857
440,0.07747294008731842
441,0.05604105070233345
442,0.033733490854501724
443,0.011492961086332798
505,0.590976893901825
506,0.6132707595825195
507,0.5981580018997192
508,0.5836243033409119
509,0.5718253254890442
510,0.5655210018157959
511,0.560379683971405
512,0.5568661689758301
513,0.5538002848625183
514,0.5506430268287659
515,0.5468271374702454
516,0.5413531064987183
517,0.5337541699409485
518,0.5196746587753296
519,0.5052577257156372
520,0.49242961406707764
521,0.4781779646873474
522,0.46233931183815
523,0.4466160833835602
524,0.4293469190597534
525,0.4112173318862915
526,0.39389553666114807
527,0.371322900056839
528,0.3521481156349182
529,0.33346280455589294
530,0.31030765175819397
531,0.28464043140411377
532,0.2626466155052185
533,0.24347668886184692
534,0.22106148302555084
535,0.19577191770076752
536,0.16799846291542053
537,0.14017532765865326
538,0.11630044132471085
539,0.09568575769662857
540,0.07747294008731842
541,0.05604105070233345
542,0.033733490854501724
543,0.011492961086332798
605,0.590976893901825
606,0.6132707595825195
607,0.5981580018997192
608,0.5836243033409119
609,0.5718253254890442
610,0.5655210018157959
611,0.560379683971405
612,0.5568661689758301
613,0.5538002848625183
614,0.5506430268287659
615,0.5468271374702454
616,0.5413531064987183
617,0.5337541699409485
618,0.5196746587753296
619,0.5052577257156372
620,0.49242961406707764
621,0.4781779646873474
622,0.46233931183815
623,0.4466160833835602
624,0.4293469190597534
625,0.4112173318862915
626,0.39389553666114807
627,0.371322900056839
628,0.3521481156349182
629,0.33346280455589294
630,0.31030765175819397
631,0.28464043140411377
632,0.2626466155052185
633,0.24347668886184692
634,0.22106148302555084
635,0.19577191770076752
636,0.16799846291542053
637,0.14017532765865326
638,0.11630044132471085
639,0.09568575769662857
640,0.07747294008731842
641,0.05604105070233345
642,0.033733490854501724
643,0.011492961086332798
705,0.590976893901825
706,0.6132707595825195
707,0.5981580018997192
708,0.5836243033409119
709,0.5718253254890442
710,0.5655210018157959
711,0.560379683971405
712,0.5568661689758301
713,0.5538002848625183
714,0.5506430268287659
715,0.5468271374702454
716,0.5413531064987183
717,0.5337541699409485
718,0.5196746587753296
719,0.5052577257156372
720,0.49242961406707764
721,0.4781779646873474
722,0.46233931183815
723,0.4466160833835602
724,0.4293469190597534
725,0.4112173318862915
726,0.39389553666114807
727,0.371322900056839
728,0.3521481156349182
729,0.33346280455589294
730,0.31030765175819397
731,0.28464043140411377
732,0.2626466155052185
733,0.24347668886184692
734,0.22106148302555084
735,0.19577191770076752
736,0.16799846291542053
737,0.14017532765865326
738,0.11630044132471085
739,0.09568575769662857
740,0.07747294008731842
741,0.05604105070233345
742,0.033733490854501724
743,0.011492961086332798
805,0.590976893901825
806,0.6132707595825195
807,0.5981580018997192
808,0.5836243033409119
809,0.5718253254890442
810,0.5655210018157959
811,0.560379683971405
812,0.5568661689758301
813,0.5538002848625183
814,0.5506430268287659
815,0.5468271374702454
816,0.5413531064987183
817,0.5337541699409485
818,0.5196746587753296
819,0.5052577257156372
820,0.49242961406707764
821,0.4781779646873474
822,0.46233931183815
823,0.4466160833835602
824,0.4293469190597534
825,0.4112173318862915
826,0.39389553666114807
827,0.371322900056839
828,0.3521481156349182
829,0.33346280455589294
830,0.31030765175819397
831,0.28464043140411377
832,0.2626466155052185
833,0.24347668886184692
834,0.22106148302555084
835,0.19577191770076752
836,0.16799846291542053
837,0.14017532765865326
838,0.11630044132471085
839,0.09568575769662857
840,0.07747294008731842
841,0.05604105070233345
842,0.033733490854501724
843,0.011492961086332798
905,0.590976893901825
906,0.6132707595825195
907,0.5981580018997192
908,0.5836243033409119
909,0.5718253254890442
910,0.5655210018157959
911,0.560379683971405
912,0.5568661689758301
913,0.5538002848625183
914,0.5506430268287659
915,0.5468271374702454
916,0.5413531064987183
917,0.5337541699409485
918,0.5196746587753296
919,0.5052577257156372
920,0.49242961406707764
921,0.4781779646873474
922,0.46233931183815
923,0.4466160833835602
924,0.4293469190597534
925,0.4112173318862915
926,0.39389553666114807
927,0.371322900056839
928,0.3521481156349182
929,0.33346280455589294
930,0.31030765175819397
931,0.28464043140411377
932,0.2626466155052185
933,0.24347668886184692
934,0.22106148302555084
935,0.19577191770076752
936,0.16799846291542053
937,0.14017532765865326
938,0.11630044132471085
939,0.09568575769662857
940,0.07747294008731842
941,0.05604105070233345
942,0.033733490854501724
943,0.011492961086332798
1104,0.6641213893890381
1105,0.6784420609474182
1106,0.7006393074989319
1107,0.7219886183738708
1108,0.7077397704124451
1109,0.6925763487815857
1110,0.6771841049194336
1111,0.6662305593490601
1112,0.6548447608947754
1113,0.6441064476966858
1114,0.6349281072616577
1115,0.6261143684387207
1116,0.615680992603302
1117,0.6016984581947327
1118,0.5884642601013184
1119,0.5729396343231201
1120,0.559260904788971
1121,0.5480191111564636
1122,0.529331386089325
1123,0.5061262249946594
1124,0.4960590898990631
1125,0.4795377552509308
1126,0.44893237948417664
1127,0.417826771736145
1128,0.4107787013053894
1129,0.3978476822376251
1130,0.35713863372802734
1131,0.30331718921661377
1132,0.307842880487442
1133,0.3044401705265045
1134,0.27147749066352844
1137,0.18745465576648712
1138,0.19237951934337616
1139,0.13880328834056854
1142,0.060324378311634064
1143,0.16941627860069275
1148,0.18950623273849487
1154,0.1650770604610443
1155,0.011681539006531239
1161,0.09181862324476242
1169,0.09964530915021896
1204,0.662158191204071
1205,0.6792479157447815
1206,0.6996094584465027
1207,0.7241149544715881
1208,0.710304856300354
1209,0.6964480876922607
1210,0.6834874153137207
1211,0.6747989058494568
1212,0.6659842729568481
1213,0.6571301817893982
1214,0.6490561962127686
1215,0.6414011120796204
1216,0.6323806047439575
1217,0.6163564324378967
1218,0.6032603979110718
1219,0.5889210104942322
1220,0.5734923481941223
1222,0.5395873785018921
1223,0.5222178101539612
1224,0.5029997229576111
1225,0.48258522152900696
1226,0.4636921286582947
1227,0.4429789185523987
1228,0.4191012382507324
1229,0.4004373848438263
1230,0.3776673376560211
1231,0.3508545756340027
1232,0.32906025648117065
1233,0.309320867061615
1234,0.2841201722621918
1235,0.25545236468315125
1236,0.2303558588027954
1237,0.20820929110050201
1238,0.18621914088726044
1239,0.16213172674179077
1240,0.13453954458236694
1241,0.10511326044797897
1242,0.07391081750392914
1243,0.054183632135391235
1244,0.03138858824968338
1245,0.014467881992459297
1304,0.6642205119132996
1306,0.7009718418121338
1307,0.7243969440460205
1308,0.7191487550735474
1309,0.7039147019386292
1310,0.6895450353622437
1311,0.6778531074523926
1312,0.6684927940368652
1313,0.6591455936431885
1314,0.6514036655426025
1315,0.6441699862480164
1316,0.6357018351554871
1317,0.6213417053222656
1318,0.6097222566604614
1319,0.5977616310119629
1320,0.5830724239349365
1323,0.5334372520446777
1324,0.5152421593666077
1325,0.49725377559661865
1326,0.4752492606639862
1327,0.4529202878475189
1328,0.42961692810058594
1329,0.40875697135925293
1330,0.38693445920944214
1331,0.36143168807029724
1332,0.3342858552932739
1333,0.3072914779186249
1334,0.2812347114086151
1335,0.2562676668167114
1336,0.23120294511318207
1337,0.20672285556793213
1338,0.1820908486843109
1339,0.1544509083032608
1340,0.12527184188365936
1341,0.09633713215589523
1342,0.06301438808441162
1343,0.03195519372820854
1344,0.008988573215901852
1405,0.6872689127922058
